# Timing measurements on the chain-geometry for the first order perturbation theory
n,flip can,flip opt,double flip can,double flip opt,swap can,swap opt
5,39.03173828125,6.6005859375,114.59716796875,26.14111328125,40.6435546875,10.040283203125
10,63.55224609375,6.452880859375,189.714599609375,25.03173828125,70.757080078125,10.66943359375
15,92.060791015625,6.470703125,274.29443359375,25.243896484375,101.652587890625,11.064453125
20,115.7861328125,6.33544921875,346.6064453125,25.01513671875,120.720703125,10.118896484375
25,143.154541015625,6.31689453125,427.844482421875,24.986083984375,145.55029296875,10.16064453125
30,174.2900390625,6.717529296875,526.13916015625,26.90185546875,179.4365234375,10.84326171875
35,195.547119140625,6.330078125,582.842529296875,24.950927734375,200.578857421875,10.45556640625
40,223.407958984375,6.53076171875,669.818603515625,25.435302734375,216.1474609375,9.954833984375
45,247.77685546875,6.44921875,743.833740234375,25.564208984375,254.0673828125,10.3271484375
50,275.59326171875,6.454833984375,822.449462890625,25.296875,273.840087890625,10.249267578125
55,301.74169921875,6.430908203125,904.275146484375,25.145263671875,322.6533203125,10.765625
60,329.879150390625,6.451171875,980.236572265625,25.204833984375,335.580078125,10.6171875
65,354.201904296875,6.519775390625,1054.629150390625,24.814453125,343.530029296875,10.21142578125
70,379.696044921875,6.636962890625,1137.18212890625,25.59130859375,372.131591796875,10.1845703125
75,408.197265625,6.695556640625,1223.903564453125,26.562744140625,396.974853515625,10.148681640625
80,442.154296875,6.6787109375,1323.60546875,26.39892578125,480.89794921875,11.3388671875
85,456.873046875,6.3623046875,1367.68115234375,25.23046875,447.07373046875,9.918212890625
90,482.651611328125,6.602783203125,1444.74072265625,25.267578125,465.88623046875,10.0087890625
95,512.893310546875,6.708740234375,1534.578857421875,25.93701171875,468.510986328125,9.515380859375
100,541.15283203125,6.539794921875,1619.7333984375,25.232177734375,535.424072265625,10.295654296875
105,572.2509765625,6.765625,1710.577880859375,25.708740234375,593.962890625,10.65673828125
110,592.8984375,6.561279296875,1782.9814453125,25.5771484375,632.66796875,11.0634765625
115,633.638427734375,6.796142578125,1894.539306640625,27.390380859375,611.1484375,10.33349609375
120,646.080078125,6.71142578125,1931.270263671875,25.2626953125,645.169677734375,10.427978515625
125,667.38916015625,6.5869140625,2002.442626953125,25.6494140625,655.1015625,10.252197265625
130,700.229736328125,6.5849609375,2089.582275390625,25.483154296875,734.69384765625,10.863037109375
135,726.129638671875,6.696044921875,2171.139892578125,25.715087890625,719.668701171875,10.44775390625
140,755.4423828125,6.7021484375,2270.647705078125,26.09814453125,758.78076171875,10.58740234375
145,782.144775390625,6.966552734375,2335.498046875,26.156005859375,735.777099609375,10.080810546875
150,817.222900390625,6.720947265625,2435.7578125,25.945556640625,813.51806640625,10.611328125
155,829.711181640625,6.78955078125,2483.264892578125,26.302734375,866.91845703125,10.998779296875
160,858.21533203125,6.8583984375,2568.782958984375,25.890869140625,850.117919921875,10.638427734375
165,888.632568359375,6.754638671875,2659.2392578125,26.3515625,912.360595703125,10.9736328125
170,916.445068359375,6.781982421875,2732.448974609375,26.052490234375,865.21337890625,10.27783203125
175,943.881103515625,6.774658203125,2814.904541015625,26.28564453125,973.5947265625,11.096435546875
180,983.3037109375,6.846435546875,2949.30810546875,26.67822265625,1006.503662109375,11.079833984375
185,994.45751953125,6.843994140625,2972.195068359375,26.32666015625,1032.174560546875,11.01904296875
190,1020.78662109375,6.87646484375,3051.636474609375,27.15380859375,1035.525146484375,11.002197265625
195,1046.46435546875,6.96875,3135.353515625,26.363525390625,1051.66357421875,10.766357421875
200,1072.605712890625,6.857421875,3217.396728515625,26.453369140625,1133.844482421875,11.292724609375
205,1100.90771484375,6.7158203125,3296.351318359375,26.3037109375,1067.6181640625,10.357421875
210,1132.237548828125,6.854736328125,3381.493408203125,25.75634765625,1074.88623046875,10.377685546875
215,1174.04931640625,7.294677734375,3499.586669921875,26.700439453125,1094.964111328125,10.388671875
220,1192.109619140625,6.8505859375,3547.82177734375,26.730224609375,1245.5517578125,11.3173828125
225,1203.383544921875,6.96337890625,3593.830810546875,25.890869140625,1234.837890625,11.046875
