# Timing measurements on the chain-geometry for the first order perturbation theory
n,flip can,flip opt,double flip can,double flip opt,swap can,swap opt
5,81.1533203125,35.61181640625,81.457275390625,56.11376953125,81.923583984375,29.50244140625
10,175.403076171875,39.297119140625,175.20166015625,66.815673828125,176.109619140625,36.81982421875
15,305.090576171875,46.656982421875,303.663818359375,83.6455078125,303.7236328125,44.15576171875
20,350.03125,40.695068359375,347.77294921875,72.309814453125,351.2939453125,39.332275390625
25,391.881591796875,35.54052734375,389.421142578125,64.285888671875,391.8232421875,31.826171875
30,463.53369140625,34.9931640625,463.905517578125,63.59130859375,463.864013671875,33.0595703125
35,533.931640625,34.878173828125,534.40576171875,62.80908203125,534.038330078125,32.27734375
40,617.005859375,35.223388671875,615.11474609375,63.8525390625,613.625244140625,33.075927734375
45,698.48095703125,35.75390625,698.44580078125,64.20556640625,695.839599609375,33.367431640625
50,926.959228515625,43.445068359375,933.84423828125,77.73828125,929.937744140625,42.048583984375
55,997.675537109375,43.287353515625,1003.783447265625,77.31201171875,1000.372314453125,44.304931640625
60,1041.34716796875,41.16162109375,1036.620849609375,73.66845703125,1033.29833984375,39.70458984375
65,1090.67822265625,39.915283203125,1097.628173828125,71.8720703125,1097.3125,39.7939453125
70,1158.457275390625,39.230712890625,1155.06494140625,72.02197265625,1153.670166015625,34.473388671875
75,1229.721435546875,38.626708984375,1225.011474609375,70.192626953125,1228.09033203125,36.279541015625
80,1323.05859375,39.19287109375,1315.113525390625,70.465576171875,1312.853759765625,39.017578125
85,1381.43505859375,39.316162109375,1360.688232421875,68.449951171875,1371.885009765625,35.886962890625
90,1459.50244140625,38.4814453125,1463.04248046875,69.5966796875,1462.899658203125,37.989501953125
95,1544.26806640625,38.968994140625,1544.620361328125,69.24609375,1546.305908203125,35.376220703125
100,1622.683349609375,38.22412109375,1624.714111328125,68.98828125,1619.04052734375,38.5029296875
105,1716.834228515625,38.95751953125,1701.580078125,68.981689453125,1707.60888671875,40.195068359375
110,1759.7529296875,38.4033203125,1756.655029296875,67.948974609375,1756.784912109375,34.692626953125
115,1991.3837890625,41.8515625,1988.36181640625,75.099609375,1981.0166015625,39.83984375
120,1923.470703125,38.567626953125,1935.006103515625,68.57861328125,1934.567626953125,36.6962890625
125,1981.4765625,37.4892578125,1990.8466796875,68.0087890625,1976.927490234375,36.638427734375
130,2127.0849609375,39.35009765625,2127.03564453125,70.367431640625,2126.40185546875,39.564453125
135,2240.156982421875,40.177978515625,2244.443115234375,71.834228515625,2243.981201171875,40.084716796875
140,2217.044677734375,38.02197265625,2211.92529296875,67.750732421875,2212.871337890625,37.908447265625
145,2289.3134765625,37.600830078125,2287.567626953125,68.187255859375,2289.269287109375,33.0546875
150,2366.4169921875,38.17626953125,2364.59619140625,67.82373046875,2369.892578125,38.14990234375
155,2494.950439453125,38.7275390625,2478.582275390625,69.279296875,2487.4580078125,36.21875
160,2524.585205078125,37.796630859375,2526.657958984375,67.38330078125,2523.842041015625,34.74072265625
165,2587.893798828125,37.220947265625,2598.155029296875,67.361328125,2601.351318359375,38.3330078125
170,2664.237060546875,37.466796875,2665.3662109375,67.6484375,2665.023681640625,33.906005859375
175,2750.0322265625,37.291259765625,2745.739501953125,67.429443359375,2751.129150390625,36.390625
180,2827.498779296875,37.657958984375,2838.2255859375,67.44140625,2823.85693359375,36.82373046875
185,2904.193359375,37.55615234375,2903.640625,67.63427734375,2893.301025390625,37.848388671875
190,2978.453857421875,37.336669921875,2975.685546875,67.475341796875,2979.248779296875,36.318603515625
195,3060.113037109375,37.554931640625,3052.340576171875,67.46337890625,3053.802490234375,37.64892578125
200,3132.470703125,37.7451171875,3147.155517578125,67.13916015625,3147.208740234375,32.038330078125
205,3207.671142578125,37.466064453125,3212.47265625,66.887451171875,3209.3125,35.243896484375
210,3284.240966796875,37.32177734375,3275.446044921875,66.98974609375,3285.555419921875,32.443603515625
215,3365.14501953125,37.213134765625,3369.6435546875,66.74072265625,3365.011474609375,37.764892578125
220,3444.045166015625,37.47607421875,3438.114990234375,67.33740234375,3433.2236328125,36.1259765625
225,3645.6318359375,39.66015625,3640.8623046875,69.3759765625,3640.345947265625,33.929931640625
